EdgeType,src,dst
device_to_port,Device_001,Device_001_10G_Port1
device_to_port,Device_001,Device_001_25G_Port2
device_to_port,Device_001,Device_001_25G_Port3
device_to_port,Device_001,Device_001_1G_Port4
device_to_port,Device_001,Device_001_25G_Port5
device_to_port,Device_002,Device_002_10G_Port1
device_to_port,Device_002,Device_002_1G_Port2
device_to_port,Device_002,Device_002_1G_Port3
device_to_port,Device_002,Device_002_100G_Port4
device_to_port,Device_003,Device_003_40G_Port1
device_to_port,Device_003,Device_003_25G_Port2
device_to_port,Device_003,Device_003_25G_Port3
device_to_port,Device_003,Device_003_40G_Port4
device_to_port,Device_004,Device_004_40G_Port1
device_to_port,Device_004,Device_004_100G_Port2
device_to_port,Device_004,Device_004_100G_Port3
device_to_port,Device_004,Device_004_25G_Port4
device_to_port,Device_004,Device_004_40G_Port5
device_to_port,Device_004,Device_004_1G_Port6
device_to_port,Device_004,Device_004_100G_Port7
device_to_port,Device_004,Device_004_25G_Port8
device_to_port,Device_005,Device_005_10G_Port1
device_to_port,Device_005,Device_005_1G_Port2
device_to_port,Device_005,Device_005_10G_Port3
device_to_port,Device_005,Device_005_100G_Port4
device_to_port,Device_005,Device_005_40G_Port5
device_to_port,Device_006,Device_006_1G_Port1
device_to_port,Device_006,Device_006_100G_Port2
device_to_port,Device_006,Device_006_1G_Port3
device_to_port,Device_006,Device_006_40G_Port4
device_to_port,Device_007,Device_007_100G_Port1
device_to_port,Device_007,Device_007_100G_Port2
device_to_port,Device_007,Device_007_1G_Port3
device_to_port,Device_007,Device_007_10G_Port4
device_to_port,Device_007,Device_007_40G_Port5
device_to_port,Device_008,Device_008_100G_Port1
device_to_port,Device_008,Device_008_25G_Port2
device_to_port,Device_008,Device_008_10G_Port3
device_to_port,Device_008,Device_008_25G_Port4
device_to_port,Device_009,Device_009_100G_Port1
device_to_port,Device_009,Device_009_100G_Port2
device_to_port,Device_009,Device_009_1G_Port3
device_to_port,Device_009,Device_009_25G_Port4
device_to_port,Device_009,Device_009_40G_Port5
device_to_port,Device_010,Device_010_40G_Port1
device_to_port,Device_010,Device_010_10G_Port2
device_to_port,Device_010,Device_010_40G_Port3
device_to_port,Device_010,Device_010_100G_Port4
device_to_port,Device_010,Device_010_10G_Port5
device_to_port,Device_010,Device_010_40G_Port6
device_to_port,Device_010,Device_010_40G_Port7
device_to_port,Device_010,Device_010_1G_Port8
device_to_port,Device_011,Device_011_1G_Port1
device_to_port,Device_011,Device_011_40G_Port2
device_to_port,Device_011,Device_011_25G_Port3
device_to_port,Device_011,Device_011_25G_Port4
device_to_port,Device_011,Device_011_40G_Port5
device_to_port,Device_011,Device_011_1G_Port6
device_to_port,Device_011,Device_011_1G_Port7
device_to_port,Device_012,Device_012_100G_Port1
device_to_port,Device_012,Device_012_25G_Port2
device_to_port,Device_012,Device_012_1G_Port3
device_to_port,Device_012,Device_012_40G_Port4
device_to_port,Device_012,Device_012_10G_Port5
device_to_port,Device_012,Device_012_40G_Port6
device_to_port,Device_012,Device_012_25G_Port7
device_to_port,Device_012,Device_012_100G_Port8
device_to_port,Device_013,Device_013_40G_Port1
device_to_port,Device_013,Device_013_100G_Port2
device_to_port,Device_013,Device_013_100G_Port3
device_to_port,Device_013,Device_013_100G_Port4
device_to_port,Device_013,Device_013_100G_Port5
device_to_port,Device_013,Device_013_1G_Port6
device_to_port,Device_014,Device_014_1G_Port1
device_to_port,Device_014,Device_014_40G_Port2
device_to_port,Device_014,Device_014_10G_Port3
device_to_port,Device_014,Device_014_10G_Port4
device_to_port,Device_015,Device_015_100G_Port1
device_to_port,Device_015,Device_015_100G_Port2
device_to_port,Device_015,Device_015_25G_Port3
device_to_port,Device_015,Device_015_25G_Port4
device_to_port,Device_015,Device_015_1G_Port5
device_to_port,Device_015,Device_015_100G_Port6
device_to_port,Device_015,Device_015_40G_Port7
device_to_port,Device_015,Device_015_10G_Port8
device_to_port,Device_016,Device_016_40G_Port1
device_to_port,Device_016,Device_016_1G_Port2
device_to_port,Device_016,Device_016_1G_Port3
device_to_port,Device_016,Device_016_100G_Port4
device_to_port,Device_016,Device_016_100G_Port5
device_to_port,Device_016,Device_016_100G_Port6
device_to_port,Device_016,Device_016_100G_Port7
device_to_port,Device_016,Device_016_100G_Port8
device_to_port,Device_017,Device_017_25G_Port1
device_to_port,Device_017,Device_017_1G_Port2
device_to_port,Device_017,Device_017_1G_Port3
device_to_port,Device_017,Device_017_1G_Port4
device_to_port,Device_017,Device_017_25G_Port5
device_to_port,Device_017,Device_017_1G_Port6
device_to_port,Device_018,Device_018_1G_Port1
device_to_port,Device_018,Device_018_1G_Port2
device_to_port,Device_018,Device_018_40G_Port3
device_to_port,Device_018,Device_018_1G_Port4
device_to_port,Device_018,Device_018_25G_Port5
device_to_port,Device_018,Device_018_10G_Port6
device_to_port,Device_019,Device_019_100G_Port1
device_to_port,Device_019,Device_019_25G_Port2
device_to_port,Device_019,Device_019_1G_Port3
device_to_port,Device_019,Device_019_100G_Port4
device_to_port,Device_019,Device_019_10G_Port5
device_to_port,Device_019,Device_019_10G_Port6
device_to_port,Device_019,Device_019_100G_Port7
device_to_port,Device_019,Device_019_10G_Port8
device_to_port,Device_020,Device_020_100G_Port1
device_to_port,Device_020,Device_020_25G_Port2
device_to_port,Device_020,Device_020_40G_Port3
device_to_port,Device_020,Device_020_40G_Port4
device_to_port,Device_020,Device_020_1G_Port5
device_to_port,Device_020,Device_020_1G_Port6
device_to_port,Device_020,Device_020_10G_Port7
device_to_port,Device_020,Device_020_100G_Port8
